Origin (UTC)	Country	Lat	Long	Depth (km)	Magnitude	PDE Shaking Deaths	PDE Total Deaths	Utsu Total Deaths	EM-DAT Total Deaths	Other Source Deaths
1998-07-17 08:49 	Papua New Guinea  	-2.946	142.52	23	7.0 Mw 	0	2683	2700		
1998-07-29 07:14 	Chile 	-32.327	-71.244	51	6.4 Mw 	0	2			
1998-09-29 22:14 	Serbia  	44.203	20.094	15	5.5 Mw 	0	1		0	
1999-04-22 22:19 	South Africa 	-27.953	26.679	6.5	5.7 mb 	0	2	2		
1999-06-04 09:12 	Azerbaijan 	40.767	47.483	14	5.4 Mw 	0	0		1	
1999-11-07 16:54 	Turkey 	40.695	30.724	16	4.9 Mw 	0	1			
2000-01-26 20:55 	China 	24.148	103.654	35	4.9 mb 	0	0		1	
2000-05-07 23:10 	Turkey 	38.164	38.777	5	4.5 Md 	0	0		1	
2000-05-12 18:43 	Argentina 	-23.754	-66.777	225	7.2 Mw 	0	1	1		
2000-06-10 18:23 	Taiwan 	23.868	121.181	19	6.4 Mw 	0	2			
2000-07-01 07:01 	Japan 	34.222	139.171	12.5	6.1 Mw 	0	1	1	1	
2000-07-07 00:15 	Turkey 	40.857	29.344	7.8	4.2 Md 	0	1			
2000-10-02 02:25 	Tanzania 	-7.965	30.806	34	6.4 Mw 	0	0		1	
2000-11-08 06:59 	Colombia 	7.091	-77.811	17	6.5 Mw 	0	0		2	
2001-02-28 18:54 	United States  	47.09	-122.581	54	6.8 Mw 	0	0		1	
2001-06-21 19:55 	France 	49.147	6.87	1	4.2 ML 	0	1	1		
2001-07-17 15:06 	Italy 	46.723	11.234	5.7	4.7 Mw 	0	4	3		
2002-01-22 04:53 	Greece 	35.624	26.645	88	6.2 Mw 	0	1			
2002-04-01 06:14 	Papua New Guinea 	-6.231	147.545	81.4	5.3 Mw 	0	36	36		
2002-04-22 04:57 	Peru 	-12.428	-76.578	64.9	4.4 mb 	0	1			
2002-09-06 01:21 	Italy 	38.335	13.728	13	5.9 Mw 	0	2			
2003-01-21 02:46 	Guatemala 	13.623	-90.85	24	6.4 Mw 	0	1			
2003-03-25 02:53 	Indonesia 	-8.339	120.606	34	6.4 Mw 	0	4	4		
2003-05-04 15:44 	China 	39.305	77.142	10	5.8 Mw 	0	1		1	
2003-09-25 19:50 	Japan 	41.864	143.878	27	8.3 Mw 	0	0		2	
2003-09-27 11:33 	Russian Federation 	50.031	87.817	12.3	7.3 Mw 	0	3		3	
2004-05-01 07:56 	Taiwan 	24.058	121.6	27.3	5.2 Mw 	0	2			
2004-07-12 13:04 	Slovenia 	46.305	13.628	7.3	5.2 Mw 	0	1		1	
2005-07-05 16:53 	South Africa 	-26.468	27.435	5	2.7 ML 	0	1			
2005-10-20 21:40 	Turkey 	38.158	26.753	7.7	5.8 Mw 	0	1			
2006-02-14 00:55 	India 	27.382	88.388	30	5.3 Mw 	0	2			
2006-03-14 06:57 	Indonesia 	-3.595	127.214	30	6.7 Mw 	0	4		4	
2006-04-25 11:26 	Australia 	-41.164	146.863	4	2.2 ML 	0	1			
2006-07-17 08:19 	Indonesia  	-9.254	107.411	34	7.7 Mw 	0	730			
2006-07-22 01:10 	China  	27.995	104.138	55	4.9 Mw 	0	22		22	
2006-12-01 14:01 	Indonesia 	-8.251	118.777	43	6.3 Mw 	0	1			
2007-04-01 20:39 	Solomon Islands	-8.43	157.06	10	8.1 Mw 	0	54			
2007-04-21 17:53 	Chile  	-45.24	-72.67	36.7	6.2 Mw 	0	10		10	
2007-12-20 07:55 	New Zealand  	-39.011	178.291	20	6.6 Mw 	0	1			
2008-05-24 19:20 	Colombia 	4.33	-73.764	8	5.9 Mw 	0	6			
2008-06-06 20:02 	Algeria 	35.883	-0.658	4	5.5 Mw 	0	1			
1900-05-11 17:23 	Japan 	38.7	141.1	5	7.0 MJMA 					
1900-07-12 06:25 	Turkey 	40.3	43.1		5.9 Muk 			140		
1900-10-29 09:11 	Venezuela 	11	-66	0	7.7 Mw 					
1901-02-15 00:00 	China 	26	100.1	0	6.5 Ms 					
1901-03-31 07:11 	Bulgaria 	43.4	28.7		6.4 Muk 			4		
1901-08-09 09:23 	Japan 	40.5	142.5	35	7.2 Mw 					
1901-11-15 20:15 	New Zealand  	-43	173	0	6.8 Ms 			1		
1902-01-30 14:01 	Japan 	40.5	141.3	35	6.9 Ms 			1		
1902-02-13 09:39 	Azerbaijan 	40.7	48.6	15	6.9 Muk 			86		
1902-03-09 07:46 	Turkey 	40.7	33.6		5.5 Muk 			4		
1902-04-19 02:23 	Guatemala  	14	-91	0	7.5 Mw 			2000	2000	
1902-07-03 15:36 	China 	43.2	129.6	20	6.7 Ms 					
1902-08-22 03:00 	China 	40	77	0	7.7 Mw 			5650		
1902-09-19 	Australia 	-35	138	2	6.0 ML 			2		
1902-12-16 05:07 	Uzbekistan 	40.8	72.3	9	6.4 Muk 			4725		
1903-03-29 22:30 	Judea and Samaria 	32.2	35.3		5.7 Muk 			20		
1903-04-28 	Turkey  	39.14	42.65		7.0 Ms 					3500
1903-05-28 03:58 	Turkey 	40.9	42.7		5.8 Muk 			1000		
1903-08-11 04:32 	Greece 	36.36	22.97	80	8.3 Muk 			2		
1903-09-25 01:20 	Iran 	35.2	58.2		6.5 Muk 			200		
1904-04-24 06:39 	Taiwan 	23.5	120.5		6.0 Muk 			3		
1904-08-11 05:56 	Greece 	37.75	27	10	6.2 Muk 			4		
1904-08-30 11:42 	China 	30	101	0	6.8 Ms 			565		
1904-11-05 20:25 	Taiwan  	23.5	120.3		6.3 Muk 			145		
1905-04-04 00:50 	India 	33	76	0	7.8 Mw 			20000	20000	
1905-06-01 04:42 	Albania 	42.1	19.6	20	6.6 Muk 			120		
1905-06-02 05:39 	Japan 	34.1	132.5	55	7.0 mb 			11		
1905-09-08 01:43 	Italy  	39	16	0	6.8 Ms 			557	2500	
1905-11-08 22:06 	Greece 	40	24	0	6.8 Ms 					
1906-01-31 15:36 	Ecuador  	1	-81.5	0	8.8 Muk 			1000	400	
1906-03-16 22:42 	Taiwan  	23.6	120.4	5	6.8 Ms 			1258		
1906-04-13 19:18 	Taiwan 	23.6	120.4	5	7.1 MJMA 			15		
1906-04-18 13:12 	United States  	38	-123	0	7.8 Muk 			700	2000	
1906-08-17 00:40 	Chile  	-33	-72	0	8.2 Muk 			3760	20000	
1906-12-22 18:21 	China 	43.5	85	0	7.2 Mw 			285		
1907-01-04 05:19 	Indonesia 	2	94.5	50	7.5 Mw 			400		
1907-01-14 21:36 	Jamaica  	18.2	-76.7		6.5 Muk 			1000		
1907-04-15 06:08 	Mexico 	17	-100	0	7.9 Mw 			28		
1907-04-18 20:59 	Philippines 	14	123	0	7.1 Mw 			2		
1907-10-21 04:23 	Tajikistan  	38	69	0	7.2 Mw 			15000	12000	
1908-01-11 03:35 	Taiwan 	23	121.1	5	6.8 Ms 			2		
1908-12-28 04:20 	Italy  	38	15.5	0	7.2 Ms 			82000	75000	
1909-01-19 04:56 	Turkey 	38.6	26.9		5.8 Muk 			8		
1909-01-23 	Iran  	33	50		7.3 Muk 					8000
1909-02-09 11:24 	Turkey 	40	38	60	6.8 Muk 					
1909-04-14 19:53 	Taiwan 	25	122.5	5	7.1 mb 			9		
1909-04-23 17:39 	Portugal 	38.9	-8.8		6.6 Muk 			30		
1909-05-11 15:54 	China 	24.4	103		6.5 Muk 			19		
1909-06-03 18:40 	Indonesia 	-2	101	0	7.2 Mw 			200		
1909-06-11 	France  	43.7	5.4		6.2 Ms 					46
1909-08-14 06:31 	Japan 	35.4	136.3	5	6.7 Ms 			41		
1909-10-20 23:41 	Pakistan 	30	68	0	7.0 Ms 			231		
1909-11-10 06:13 	Japan 	32.3	131.1	150	7.5 mb 			2		
1910-01-08 14:49 	China 	35	122	0	6.8 Muk 			1		
1910-02-18 05:09 	Greece 	36	24.5	150	6.9 mb 			6		
1910-04-12 00:22 	Japan 	25	123	200	7.6 mb 			20		
1910-06-24 13:27 	Algeria 	36.1	3.4	33	6.4 Muk 			81		
1911-01-03 23:25 	Kazakhstan  	43.5	77.5	0	7.8 Mw 			450		
1911-02-18 18:41 	Kyrgyzstan 	40	73	0	7.2 Mw 			90		
1911-04-18 18:14 	Iran 	32	56	50	6.7 Muk 			700		
1911-06-07 11:02 	Mexico 	17.5	-102.5	0	7.6 Mw 			1300		
1911-06-15 14:26 	Japan 	28	130	90	8.1 mb 			12		
1912-01-24 16:23 	Greece 	38	20.5	60	6.8 Muk 					
1912-05-06 19:00 	Iceland 	64	-20	0	7.0 Ms 			1		
1912-05-23 02:24 	Burma 	21	97	0	7.7 Mw 					
1912-08-09 01:29 	Turkey  	40.5	27	0	7.6 Mw 			2836	923	
1912-11-19 13:55 	Mexico 	19.83	-99.92	15	6.7 Ms 					164
1913-03-14 08:45 	Indonesia 	4.5	126.5	0	7.9 Mw 					
1913-06-14 09:33 	Bulgaria 	43.5	25.5	0	6.8 Muk 			500		
1913-08-06 22:14 	Peru 	-17	-74	0	7.8 Mw 					
1913-11-04 21:33 	Peru 	-14.2	-72.9	10	6.3 Muk 			150		
1913-12-21 15:37 	China 	24.5	102	0	7.2 Mw 			1314		
1914-01-12 09:28 	Japan 	31.6	130.6	5	6.7 Ms 			35		
1914-03-14 20:00 	Japan 	39.5	140.4	5	7.0 Ms 			94		
1914-05-08 18:01 	Italy 	37.7	15.2		4.9 Muk 			69		
1914-05-26 14:22 	Indonesia 	-2	137	0	7.9 Mw 					
1914-06-25 19:07 	Indonesia 	-4.5	102.5	0	7.6 Mw 				20	
1914-08-04 22:41 	China 	43.5	91.5	0	7.2 Mw 					
1914-10-03 22:06 	Turkey  	37.5	32.5	0	7.1 Mw 			4000		
1915-01-13 06:52 	Italy  	42	13.5	0	6.9 Ms 			32610	29980	
1915-03-17 18:45 	Japan 	42.1	143.6	35	7.2 mb 			2		
1915-06-23 04:56 	United States 	32.8	-115.5		6.2 Muk 			6		
1915-09-07 01:20 	El Salvador 	14	-89	80	7.4 mb 			7		
1915-12-03 02:39 	China 	29.5	91.5	0	7.0 Ms 			170		
1916-08-28 07:27 	Taiwan  	23.9	120.5	5	7.2 MJMA 			16		
1916-11-14 22:31 	Taiwan  	24	121		6.0 Muk 			1		
1917-01-04 16:55 	Taiwan	21.9	120.9	0	6.5 Ms 			54		
1917-01-21 23:11 	Indonesia 	-7	116		6.6 Muk 			15000		
1917-01-24 00:48 	China 	31	114	0	6.5 Ms 					
1917-01-31 03:39 	Philippines 	6	125		6.4 Muk 			7		
1917-07-30 23:54 	China 	29	104	0	7.3 Mw 			1879	1800	
1917-08-31 11:36 	Colombia 	4	-74	0	7.1 Ms 					
1918-02-13 06:07 	China  	23.54	117.243	15	7.2 Mw 				10000	
1918-04-21 22:32 	United States 	33.812	-117.44	15	6.8 Muk 			1		
1918-08-15 12:18 	Philippines 	5.653	123.563	35	8.2 Mw 				100	
1918-09-07 17:15 	Russian Federation 	46.812	150.253	242.4	7.6 mb 			24		
1918-10-11 14:14 	Puerto Rico  	18.473	-67.631	35	7.3 Mw 			116	116	
1919-05-06 19:40 	Papua New Guinea 	-5.477	152.629	232.8	7.6 mb 					
1920-06-05 04:21 	Taiwan 	23.813	122.08	35	7.9 Mw 			5		
1920-01-04 04:22 	Mexico 	19.27	-97.08	15	6.2 Ms 					1500
1920-02-20 11:45 	Georgia  	42	44.1	11	6.2 Muk 			130		
1920-09-07 05:55 	Italy 	44.3	10.3	10	5.8 Muk 			171		
1920-12-16 12:05 	China  	36.601	105.317	25	8.6 Ms 			235502	180000	
1920-12-17 18:59 	Argentina  	-32.7	-68.4	10	6.0 Muk 			400		
1921-08-14 	Eritrea  	15.61	39.445							
1921-11-11 18:36 	Philippines 	7.897	127.257	35	7.3 Mw 			600		
1922-04-26 01:11 	Japan 	35.2	139.8	35	6.8 MJMA 			2		
1922-09-01 19:16 	Taiwan 	24.506	122.04	35	7.5 Mw 			5		
1922-10-14 23:45 	Taiwan 	24.5	122	35	6.9 MJMA 			6		
1922-11-11 04:32 	Chile  	-28.553	-70.755	35	8.7 Mw 			1000	1000	
1922-12-07 16:50 	Japan 	32.7	130.1	5	6.9 MJMA 			26		
1922-12-08 02:02 	Japan 	32.7	130.1	5	6.5 MJMA 					
1923-02-03 16:01 	Russian Federation 	53.853	160.761	35	8.5 Mw 					
1923-03-24 12:40 	China 	30.553	101.258	25	7.2 Mw 			450	5000	
1923-04-13 15:31 	Russian Federation 	55.415	162.585	35	7.1 Mw 			18		
1923-05-25 22:21 	Iran 	35.2	59.2		5.7 Muk 			2219		
1923-09-01 02:58 	Japan  	35.405	139.084	35	7.9 Muk 			142807	143000	105000
1923-09-09 22:03 	Bangladesh 	24.943	90.32	35	7.1 Ms 			50		
1923-09-17 07:09 	Iran 	37.2	57.7		6.4 Muk 			157		
1923-09-22 20:47 	Iran 	29.12	56.928	35	6.9 Muk 			290		
1923-12-14 10:31 	Colombia 	1	-77.5		5.3 Muk 			300		
1924-01-14 20:50 	Japan 	35.5	139.2	5	7.3 MJMA 			19		
1924-03-03 08:01 	Ecuador 	-1.6	-78.6		6.9 Muk 			40		
1924-04-14 16:20 	Philippines  	7.023	125.954	33	8.3					
1924-07-03 04:40 	China 	36.632	83.903	35	7.1 Mw 			255		
1924-07-12 15:12 	Kyrgyzstan 	40.565	73.397	25	6.8 Muk 			41		
1924-09-13 14:34 	Turkey  	39.864	41.876	35	6.8 Muk 			30		
1925-03-16 14:42 	China 	25.688	100.494	25	7.0 Ms 			5808	5000	
1925-05-23 02:09 	Japan 	35.6	134.8	5	6.8 Muk 			428		
1925-06-29 14:42 	United States 	34.5	-119.6		6.2 Muk 			13		
1925-12-14 00:00 	Iran 	34.6	58.1		5.5 Muk 			500		
1925-12-18 05:53 	Iran 	28.5	51.2		5.5 Muk 			2		
1926-03-18 14:06 	Turkey 	35.787	29.246	35	6.9 Muk 					
1926-06-26 19:46 	Greece 	36.605	26.888	101.8	7.7 mb 			110		
1926-06-28 03:23 	Indonesia 	-0.051	101.522	35	6.8 Muk 			222		
1926-10-22 19:59 	Turkey  	40.7	43.7	7	5.7 Muk 			370		
1926-11-05 07:55 	Nicaragua 	12.67	-86.736	35	7.1 mb 					
1927-03-07 09:27 	Japan 	35.802	134.924	9.6	7.6 Ms 			2925	2925	
1927-03-20 00:00 	China 	24.1	102		5.0 Muk 			7		
1927-04-14 06:23 	Argentina 	-32.477	-69.675	35	7.2 mb 			8		
1927-05-22 22:32 	China  	37.386	102.311	25	7.9 Ms 			80000	200000	
1927-08-24 18:09 	Taiwan 	23.118	120.237	35	6.8 Muk 			11		
1928-03-22 04:17 	Mexico 	16.127	-96.505	35	7.5 Mw 					
1928-03-31 00:29 	Turkey 	38.1	27.1		6.5 Muk 			170		
1928-04-09 17:34 	Peru 	-13.731	-70.628	35	6.8 Ms 			10		
1928-04-14 09:00 	Bulgaria 	42.402	25.667	15	6.8 Muk 			107	107	
1928-04-18 19:22 	Bulgaria 	42.386	25.087	15	6.8 Muk 			103		
1928-05-14 22:14 	Peru 	-5.261	-78.559	35	7.2 Mw 			29		
1928-08-21 19:01 	Iran 	37.3	57.9	9	5.4 Muk 			10		
1928-12-01 04:06 	Chile 	-35.086	-71.683	35	7.7 Mw 			225		
1928-12-19 11:37 	Philippines 	6.977	124.856	35	7.3 Mw 			93		
1929-01-17 11:45 	Venezuela 	9.499	-64.381	35	6.9 Muk 					
1929-05-01 15:37 	Turkmenistan  	37.957	57.693	25	7.1 Mw 			3257	3300	
1929-05-18 06:37 	Turkey 	40.2	37.9	10	6.5 Muk 			64		
1929-05-30 09:43 	Argentina 	-34.768	-67.598	35	6.8 Muk 			52		
1929-06-16 22:47 	New Zealand  	-41.831	172.292	35	7.5 Mw 			17		
1929-07-13 07:36 	Iran 	37.5	58	57	5.8 Muk 			5		
1929-10-19 10:12 	Chile 	-23.038	-68.737	35	7.4 mb 					
1929-11-18 20:32 	Saint Pierre and Miquelon  	44.539	-56.008	15	7.3 Muk 			52		
1930-05-05 13:45 	Burma 	17.665	96.543	35	7.2 Mw 			550	500	
1930-05-06 22:34 	Iran  	38.152	44.685	25	7.1 Mw 			2514	2500	
1930-05-14 19:48 	China 	26.8	103		6.0 Muk 			42		
1930-07-23 00:08 	Italy  	41.05	15.367		6.6 Muk 					1404
1930-10-30 07:13 	Italy 	43.75	13.5		6.0 Muk 			18		
1930-11-21 02:00 	Albania 	40.5	19.5	12	6.0 Muk 			35		
1930-11-25 19:02 	Japan 	34.977	139.103	35	6.9 Mw 			272	0	
1930-12-02 13:29 	Albania 	40.3	19.6	4	5.0 Muk 			25		
1930-12-03 18:51 	Burma 	17.972	96.422	35	7.3 Mw 			22	36	
1930-12-08 08:01 	Taiwan 	23.2	120.6		6.3 Muk 			4		
1930-12-24 06:02 	Argentina 	-24.7	-66.3	30	6.0 Muk 			36		
1930-12-25 19:03 	Japan 	35.1	133	5	7.0 Muk 			272		
1931-01-15 01:50 	Mexico 	16.053	-96.614	35	7.8 Mw 			68		
1931-02-02 22:46 	New Zealand  	-39.772	176.025	35	7.7 Mw 			256	256	
1931-02-10 06:34 	Indonesia 	-5.433	102.458	35	7.1 Mw 			18		
1931-03-08 01:50 	Kingdom of Yugoslavia 	41.337	22.666	25	6.8 Muk 			35		
1931-03-31 16:02 	Nicaragua  	13.2	-85.7		5.6 Muk 			1000		
1931-04-27 16:50 	Armenia 	39.2	46	22	6.3 Muk 			390		
1931-06-07 01:30 	England  	54.08	1.5		6.1 Muk 					1
1931-08-10 21:18 	China  	46.571	89.965	35	7.9 Mw 			10000		
1931-08-27 15:27 	Pakistan 	29.473	67.172	35	7.1 Mw 			200		
1931-09-21 02:20 	Japan 	36.021	139.381	35	6.8 Muk 			16		
1931-10-03 19:13 	Solomon Islands 	-10.932	161.016	35	7.8 Mw 			50		
1931-11-02 10:03 	Japan 	32.003	131.945	42.2	7.5 Mw 			1		
1932-02-03 06:16 	Cuba 	19.77	-75.85	25	6.8 Muk 			8		
1932-03-14 22:42 	Venezuela 	8.149	-71.974	35	6.8 Muk 			6		
1932-04-06 09:11 	China 	31.4	115	15	6.0 Muk 			6		
1932-05-14 13:11 	Indonesia 	0.258	126.169	35	8.1 Mw 			5	6	
1932-05-21 10:10 	Nicaragua 	12.364	-87.894	35	6.9 Muk 			10		
1932-06-03 10:36 	Mexico  	19.457	-104.146	25	7.9 Mw 			60		
1932-06-18 10:12 	Mexico 	19.452	-103.632	54.3	7.9 Mw 			52		
1932-06-22 12:59 	Mexico 	19.028	-104.379	25	6.9 Muk 			75		
1932-09-26 19:20 	Greece  	40.333	23.732	35	6.9 Muk 			491		
1932-12-25 02:04 	China  	39.771	96.69	25	7.6 Mw 			275		
1933-03-02 17:31 	Japan  	39.224	144.622	35	8.4 Muk 			3064	3008	
1933-03-11 01:55 	United States  	33.63	-118		6.4 Mw 					120
1933-04-23 05:57 	Greece 	36.516	27.15	35	6.8 Muk 			74		
1933-06-24 21:54 	Indonesia 	-5.522	104.434	35	7.3 Mw 			76		
1933-08-25 07:50 	China  	31.81	103.541	25	7.3 Mw 			6865		
1933-11-28 11:09 	Iran 	32.1	56	27	6.3 Muk 			4		
1934-01-12 13:31 	China 	23.7	102.7		6.0 Muk 			1		
1934-01-15 08:43 	Nepal  	26.773	86.762	35	8.1 Muk 			10700	6000	
1935-01-04 14:41 	Turkey  	40.5	27.5	7	6.2 Muk 			5		
1935-02-25 02:51 	Greece 	36.084	24.703	35	6.8 Muk 					
1935-03-05 10:27 	Iran 	36.3	53.3		6.0 Muk 			60		
1935-04-11 23:14 	Iran 	36.432	53.621	35	6.8 Muk 			500		
1935-04-20 22:02 	Taiwan  	24.364	120.613	35	7.1 Ms 			3276	3410	
1935-04-28 00:00 	China 	29.4	102.3		6.0 Muk 			2		
1935-05-01 	Turkey  	40.38	43.41	7	6.2 Muk 					200
1935-05-30 21:32 	Pakistan  	28.894	66.176	35	8.1 Mw 			60000	60000	
1935-07-11 18:35 	Japan 	35	138	10	6.3 Muk 			9		
1936-01-09 09:23 	Colombia 	1.1	-77.6		7.0 Muk 			250		
1936-02-07 08:56 	China 	35.633	103.265	25	6.8 Muk 			42		
1936-04-26 23:59 	China 	28.733	103.497	25	6.8 Muk 					
1936-05-16 07:05 	China 	28.675	103.684	25	6.8 Muk 			550		
1936-08-01 06:24 	China 	34.2	105.7		6.0 Muk 			144		
1936-08-17 00:00 	China 	26.6	103		5.5 Muk 			30		
1936-08-23 21:12 	Indonesia 	5.296	94.759	35	7.1 Ms 			91	9	
1937-07-26 03:47 	Mexico 	18.523	-95.878	35	7.2 mb 			34		
1937-07-31 20:35 	China 	35.252	115.153	25	6.9 Muk 			3833		
1937-08-20 11:59 	Philippines 	14.318	121.547	35	7.3 Mw 			1		
1937-12-23 13:18 	Mexico 	17.431	-98.287	35	7.4 Mw 			4		
1938-04-19 10:59 	Turkey  	39.439	34.015	35	6.8 Muk 			155	149	
1938-05-19 17:08 	Indonesia 	-0.366	119.525	49.4	7.5 Mw 			8		
1938-11-05 08:43 	Japan 	37.009	142.045	35	7.9 Mw 			1		
1939-01-25 03:32 	Chile  	-36.2	-72.2	0	7.7 Mw 			28000	30000	
1939-04-30 02:55 	Solomon Islands 	-9.295	159.234	35	7.9 Mw 			12		
1939-05-01 05:58 	Japan 	39.839	139.969	35	7.0 Ms 			27		
1939-06-22 19:19 	Ghana 	5.18	-0.13	13	6.4 Muk 			22		
1939-09-19 00:00 	China 	24.4	102.5		5.5 Muk 			1		
1939-12-26 23:57 	Turkey  	39.77	39.533	35	7.8 Ms 			32968	32962	
1940-04-06 13:43 	China 	23.9	102.3		6.0 Muk 			181		
1940-05-07 22:23 	Georgia 	41.7	43.8	19	6.0 Muk 			5		
1940-05-19 04:36 	United States  	33.222	-115.697	15	6.9 Muk 			9	9	
1940-05-24 16:33 	Peru 	-11.119	-77.629	50.1	7.5 Mw 			250	249	
1940-06-19 00:00 	China 	24.4	102.5		5.5 Muk 			2		
1940-08-01 15:08 	Japan 	44.508	139.829	35	7.5 Mw 			10		
1940-11-10 01:39 	Romania  	45.773	26.655	122	7.3 mb 			1000	980	
1941-01-11 08:32 	Yemen 	16.4	43.5		5.9 Muk 			1200		
1941-02-16 16:38 	Iran 	33.5	58.6		6.3 Muk 			680		
1941-04-15 19:09 	Mexico 	18.677	-102.957	35	7.6 Mw 			90		
1941-05-05 15:18 	China 	47	127.2		6.0 Muk 			132		
1941-05-16 07:14 	China 	23.514	99.408	25	6.9 Muk 			16		
1941-06-26 11:52 	India 	12.149	92.478	49.1	7.7 Mw 					
1941-09-10 21:53 	Turkey  	39.5	43.3	28	6.0 Muk 			500		
1941-10-08 15:24 	China 	31.7	102.3		6.0 Muk 			139		
1941-11-12 10:04 	Turkey 	39.7	39.4	70	5.9 Muk 			15		
1941-11-18 16:46 	Japan 	32	132	0	7.7 Mw 			2		
1941-12-16 19:19 	Taiwan  	23.251	120.391	35	7.1 Mw 			357		
1941-12-26 14:48 	Burma 	21.076	99.145	25	7.0 Ms 					
1942-02-01 17:30 	China 	23.1	100.3		6.8 Muk 			90		
1942-05-14 02:13 	Ecuador 	0.012	-79.902	35	7.8 Mw 			200	200	
1942-08-06 23:37 	Guatemala 	13.78	-90.913	35	7.7 Mw 			38		
1942-08-24 22:50 	Peru 	-14.975	-74.92	35	7.7 Mw 			30		
1942-08-27 06:14 	Albania 	41.7	20.4	33	6.0 Muk 			43		
1942-12-20 14:03 	Turkey  	40.671	36.45	35	7.2 Mw 			3000	3000	
1943-01-20 15:32 	Turkey 	40.8	30.5		6.6 Muk 			285		
1943-02-22 09:20 	Mexico 	17.75	-101.5	0	7.4 Mw 			11		
1943-04-06 16:07 	Chile 	-30.75	-72	0	8.2 Mw 			18		
1943-06-20 15:33 	Turkey  	40.6	30.5	15	6.2 Muk 			336		
1943-07-23 14:53 	Indonesia 	-9.5	110	90	7.6 mb 			213	213	
1943-09-10 08:36 	Japan  	35.25	134	0	7.0 Mw 			1083	1083	
1943-11-26 22:20 	Turkey  	41	34	0	7.5 Mw 			4020	2824	
1943-12-02 05:08 	Taiwan 	22.9	121.5	0	6.5 Ms 			3		
1944-01-15 23:49 	Argentina  	-31.25	-68.75	50	7.1 Mw 			8000	10000	
1944-02-01 03:22 	Turkey  	41.5	32.5	0	7.2 Mw 			3959	3959	
1944-03-09 22:12 	China 	44	84	0	7.1 Ms 			4		
1944-04-05 00:00 	Iran 	36.8	54.5	7	4.8 Muk 			20		
1944-10-06 21:34 	Turkey 	39.4	26.7		6.8 Ms 			30		
1944-12-07 04:35 	Japan  	33.75	136	0	8.1 Muk 			1251	998	
1945-01-12 18:38 	Japan  	34.75	136.75	0	6.8 Ms 			2306	1961	
1945-02-10 04:57 	Japan 	41.25	142.5	50	7.1 Ms 			2		
1945-03-20 07:59 	Turkey 	37.4	35.8	60	6.0 Muk 			300		
1945-09-13 11:17 	Chile 	-33.25	-70.5	100	7.0 mb 			4		
1945-09-23 15:34 	China 	39.5	119		6.3 Muk 			600		
1945-11-27 21:56 	Pakistan  	24.5	63	0	8.0 Mw 			300	4000	
1946-02-12 02:43 	Algeria 	36	5		6.0 Muk 			277		
1946-02-21 15:43 	Turkey 	38.2	31.8	60	5.6 Muk 			12		
1946-04-01 12:28 	United States  	52.75	-163.5	0	7.3 Ms 			173	165	
1946-05-31 03:12 	Turkey  	39.3	41.2		5.9 Muk 			1300		
1946-06-23 17:13 	Canada  	49.75	-124.5	0	7.6 Mw 			1		
1946-08-02 19:18 	Chile 	-26.5	-70.5	50	7.1 Ms 			2		
1946-08-04 17:51 	Dominican Republic  	19.25	-69	0	7.9 Mw 			100	73	
1946-11-02 18:28 	Kyrgyzstan 	41.5	72.5	0	7.3 Mw 					
1946-11-04 21:47 	Turkmenistan 	39.75	54.5	0	7.1 Mw 			400		
1946-11-10 17:42 	Peru 	-8.5	-77.5	0	6.8 Mw 			1400	1400	
1946-12-04 22:46 	Taiwan  	22.5	122.5	0	6.6 Ms 			74		
1946-12-20 19:19 	Japan  	32.5	134.5	0	8.1 Muk 			1330	2000	
1947-03-26 20:48 	China 	25	102		5.5 Muk 			4		
1947-09-23 12:28 	Iran 	33	59	0	6.8 Muk 			500		
1947-09-26 16:01 	Japan 	24.75	123	110	7.4 mb 			5		
1947-10-06 19:55 	Greece 	37	22	0	6.9 Ms 					
1947-11-01 14:58 	Peru 	-10.5	-75	0	7.7 Mw 			233	233	
1948-01-24 17:46 	Philippines 	10.5	122	0	8.1 Mw 			72	27	
1948-05-11 08:55 	Peru 	-17.5	-70.25	70	7.4 mb 			4		
1948-05-25 07:11 	China 	29.5	100.5	0	7.2 Mw 			737		
1948-05-28 05:36 	Peru 	-13	-76.5	60	7.0 Muk 			4		
1948-06-15 11:44 	Japan 	33.75	135.25	0	6.9 Muk 			2		
1948-06-27 00:08 	China 	26.4	99.7		6.8 Muk 			280		
1948-06-28 07:13 	Japan  	36.5	136	0	7.0 Mw 			3769	5131	
1948-06-30 12:21 	Greece 	38.5	20.5	33	6.4 Muk 			6		
1948-08-25 06:09 	Argentina  	-24.5	-65	50	6.9 Ms 			5		
1948-10-05 20:12 	Turkmenistan  	37.5	58	0	7.2 Mw 			19800	110000	
1948-10-08 19:01 	China 	27.4	104		5.8 Muk 			9		
1948-12-04 00:22 	Mexico 	22	-106.5	0	6.9 Muk 			4		
1949-02-23 16:08 	China 	41	83.5	0	7.3 Mw 			12		
1949-04-13 19:55 	United States  	47.25	-122.5	60	6.5 Ms 			8	8	
1949-04-20 03:29 	Chile 	-38	-73.5	70	7.1 mb 			57		
1949-07-10 03:53 	Tajik Soviet Socialist Republic  	39	70.5	0	7.6 Mw 			12000		
1949-07-23 15:03 	Turkey 	38.6	26.3	0	6.8 Muk 			7		
