,Unnamed: 0,Origin (UTC),Country,Lat,Long,Depth (km),Magnitude,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,MaxDeaths
24,24,04-02-98 14:33,Afghanistan   ,37.08,70.004,17.6,5.9 Mw ,2323.0,2323.0,2323.0,2323.0,,2323.0
25,25,06-09-75 09:20,Turkey   ,38.515,40.768,39.6,6.7 Ms ,2311.0,2311.0,2370.0,2385.0,,2385.0
26,26,20-09-99 17:47,Taiwan   ,23.819,120.877,21,7.6 Mw ,2297.0,2297.0,2413.0,2264.0,2489.0,2489.0
27,27,21-05-03 18:44,Algeria   ,36.88,3.694,12,6.8 Mw ,2266.0,2266.0,,2266.0,,2266.0
28,28,01-09-68 07:27,Iran   ,34.072,58.212,8.8,6.3 Ms ,2000.0,2000.0,900.0,10000.0,,10000.0
29,29,19-10-91 21:23,India   ,30.725,78.775,9.3,6.8 Mw ,2000.0,2000.0,2000.0,1500.0,,2000.0
30,30,27-05-95 13:03,Russian Federation   ,52.604,142.823,11,7.0 Mw ,1989.0,1989.0,1989.0,1989.0,,1989.0
31,31,16-07-90 07:26,Philippines   ,15.721,121.18,24.3,7.7 Mw ,1621.0,1621.0,2430.0,2412.0,,2430.0
32,32,10-05-97 07:57,Iran   ,33.848,59.81,12.6,7.2 Mw ,1572.0,1572.0,1572.0,1568.0,,1572.0
33,33,28-07-81 17:22,Iran ,29.976,57.767,13.6,7.2 Mw ,1500.0,1500.0,1500.0,1200.0,,1500.0
34,34,30-10-83 04:12,Turkey   ,40.327,42.176,15,6.6 Mw ,1342.0,1342.0,1400.0,1346.0,,1400.0
35,35,28-03-05 16:09,Indonesia   ,2.069,97.097,22,8.6 Mw ,1303.0,1313.0,,915.0,,1313.0
36,36,25-01-99 18:19,Colombia   ,4.444,-75.659,17,6.1 Mw ,1185.0,1885.0,1900.0,1186.0,,1900.0
37,37,28-02-97 12:57,Iran   ,38.108,48.069,9.7,6.1 Mw ,1100.0,1100.0,1100.0,1100.0,,1100.0
38,38,28-03-70 21:02,Turkey   ,39.172,29.55,24.2,7.4 Muk ,1086.0,1086.0,1086.0,1086.0,,1086.0
39,39,22-05-71 16:44,Turkey   ,38.868,40.542,3.6,6.7 Ms ,1000.0,1000.0,995.0,878.0,,1000.0
40,40,06-03-87 04:10,Ecuador ,0.082,-77.787,17.1,7.1 Mw ,1000.0,5000.0,5000.0,,,5000.0
41,41,25-03-02 14:56,Afghanistan   ,36.051,69.21,10.5,6.1 Mw ,1000.0,1000.0,1000.0,1000.0,,1000.0
42,42,20-08-88 23:09,Nepal   ,26.763,86.618,57,6.8 Mw ,998.0,998.0,1450.0,709.0,,1450.0
43,43,10-10-86 17:49,El Salvador   ,13.791,-89.165,10.9,7.3 Mw ,950.0,1000.0,1500.0,1100.0,,1500.0
44,44,06-05-76 20:00,Italy   ,46.385,13.266,20.7,6.5 Mw ,900.0,900.0,965.0,922.0,,965.0
45,45,12-11-99 16:57,Turkey   ,40.803,31.219,12.8,7.2 Mw ,894.0,894.0,894.0,845.0,,894.0
46,46,06-11-88 13:03,China ,22.909,99.681,6.5,7.0 Mw ,730.0,730.0,748.0,,,748.0
